Time;flixopt_input_entity.electricity_demand;flixopt_input_entity.heat_demand;flixopt_input_entity.electricity_price
2025-01-01T00:00:00Z;20;20;0,2
2025-01-01T01:00:00Z;20;22;0,2
2025-01-01T02:00:00Z;20;50;0,3
2025-01-01T03:00:00Z;25;45;0,25
2025-01-01T04:00:00Z;24;47;0,23
2025-01-01T05:00:00Z;23;48;0,21
2025-01-01T06:00:00Z;26;46;0,28
2025-01-01T07:00:00Z;28;44;0,32
2025-01-01T08:00:00Z;30;42;0,35
2025-01-01T09:00:00Z;32;40;0,4
2025-01-01T10:00:00Z;34;10;0,42
2025-01-01T11:00:00Z;36;5;0,45
2025-01-01T12:00:00Z;38;5;0,48
2025-01-01T13:00:00Z;40;10;0,5
2025-01-01T14:00:00Z;42;15;0,5
2025-01-01T15:00:00Z;44;20;0,52
2025-01-01T16:00:00Z;46;25;0,45
2025-01-01T17:00:00Z;48;30;0,4
